stop_id,stop_lon,stop_lat
971,-85.246812,35.024347
146,-85.30462,34.989585
1545,-85.250863,35.026032
972,-85.248528,35.025717
81,-85.30489,34.990302
90,-85.304968,34.991247
975,-85.254727,35.027633
1911,-85.25311,35.026909
1486,-85.305763,34.991815
1899,-85.30632,34.99199
1731,-85.307528,34.993198
979,-85.266568,35.032893
148,-85.30775,34.992518
977,-85.264183,35.031988
978,-85.26536,35.032425
976,-85.261625,35.031137
1797,-85.307147,34.993948
981,-85.270447,35.034348
1862,-85.269207,35.033955
980,-85.26846,35.033597
151,-85.31166,34.997878
152,-85.312742,34.998288
982,-85.271653,35.034793
986,-85.277345,35.036903
102,-85.31244,35.002018
101,-85.3136,34.999948
100,-85.314267,34.998713
987,-85.278712,35.037412
985,-85.275962,35.03639
984,-85.274435,35.03583
983,-85.273117,35.03535
991,-85.284623,35.039625
990,-85.282605,35.03885
989,-85.281287,35.038365
988,-85.28011,35.037925
104,-85.310675,35.005313
103,-85.311487,35.003795
105,-85.311438,35.005842
107,-85.313758,35.006708
994,-85.292587,35.042542
992,-85.28952,35.041393
993,-85.291348,35.042073
109,-85.316223,35.007617
108,-85.31449,35.006985
106,-85.312615,35.006287
112,-85.318655,35.010062
110,-85.317668,35.008178
995,-85.295687,35.043733
407,-85.296657,35.044178
408,-85.298818,35.044985
409,-85.301393,35.045875
111,-85.317303,35.009267
997,-85.307273,35.048447
413,-85.304015,35.046877
996,-85.305415,35.04741
412,-85.302903,35.046457
114,-85.320912,35.009385
113,-85.320022,35.01059
115,-85.321468,35.008372
116,-85.322787,35.008213
118,-85.325267,35.008127
999,-85.309308,35.048343
998,-85.308338,35.048367
1912,-85.324138,35.008167
1914,-85.327397,35.011027
1684,-85.32506,35.014305
1488,-85.32595,35.012657
1358,-85.323852,35.015212
1582,-85.32301,35.016102
124,-85.322215,35.017432
125,-85.321325,35.01727
126,-85.320228,35.016888
127,-85.319037,35.01647
130,-85.314602,35.014933
129,-85.31697,35.015752
128,-85.317972,35.016097
132,-85.312997,35.017273
133,-85.312105,35.018855
134,-85.311502,35.019952
136,-85.31155,35.025455
137,-85.310993,35.026485
1487,-85.3088,35.030812
138,-85.308545,35.03227
139,-85.308195,35.034138
140,-85.30775,35.035092
141,-85.307322,35.035862
142,-85.30737,35.037463
143,-85.307433,35.0386
771,-85.307497,35.039462
145,-85.30864,35.041675
144,-85.307878,35.040257
1560,-85.309102,35.04288
164,-85.309308,35.045045
1361,-85.309403,35.047342
165,-85.30934,35.046062
163,-85.309277,35.043448
166,-85.309452,35.05072
1589,-85.309498,35.049317
167,-85.309547,35.052122
170,-85.305668,35.052095
169,-85.306638,35.052153
171,-85.303205,35.051825
172,-85.301885,35.0513
690,-85.268777,35.055877
354,-85.268713,35.056167
505,-85.28108,35.056017
287,-85.308418,35.053548
286,-85.307337,35.053568
713,-85.306543,35.053588
285,-85.305272,35.053513
284,-85.302427,35.052515
1351,-85.309722,35.052658
12,-85.309532,35.050703
1555,-85.309547,35.048828
1354,-85.309515,35.045983
1353,-85.309452,35.045383
1579,-85.309547,35.04812
17,-85.309435,35.04425
742,-85.309435,35.043472
807,-85.306208,35.04363
806,-85.306685,35.042653
805,-85.308418,35.042185
1474,-85.305017,35.044505
1475,-85.305637,35.044533
812,-85.301885,35.043265
811,-85.303142,35.04377
814,-85.29734,35.041787
818,-85.292412,35.039823
817,-85.29397,35.040392
816,-85.295098,35.040817
815,-85.296355,35.041313
813,-85.299072,35.0423
820,-85.285673,35.037118
821,-85.284545,35.036565
819,-85.286468,35.037512
822,-85.283018,35.035965
823,-85.281795,35.035517
824,-85.280412,35.035
827,-85.276248,35.033458
826,-85.277693,35.033995
825,-85.27903,35.034492
828,-85.27442,35.032798
355,-85.269413,35.05513
356,-85.27043,35.05476
359,-85.278505,35.046412
358,-85.277107,35.049015
712,-85.279777,35.044167
273,-85.280745,35.04429
274,-85.285212,35.045888
275,-85.286468,35.046392
278,-85.291697,35.048288
276,-85.28774,35.046842
892,-85.161838,35.044628
1875,-85.160392,35.044052
280,-85.29432,35.049535
894,-85.159105,35.043655
277,-85.290362,35.047818
279,-85.293017,35.048733
281,-85.295305,35.049897
282,-85.299295,35.051288
283,-85.301298,35.051912
321,-85.271797,35.031813
829,-85.273435,35.032425
897,-85.155083,35.040793
830,-85.268905,35.030705
322,-85.270398,35.03128
898,-85.155718,35.03974
832,-85.265995,35.031607
831,-85.26695,35.030943
833,-85.260878,35.030725
836,-85.25158,35.026083
835,-85.254155,35.027188
834,-85.255045,35.027568
837,-85.248798,35.025638
838,-85.247812,35.024875
839,-85.24608,35.023968
840,-85.244522,35.023245
841,-85.242868,35.022602
842,-85.241565,35.021712
843,-85.240517,35.020258
844,-85.240008,35.018955
848,-85.2347,35.015542
849,-85.233842,35.015212
850,-85.23249,35.014667
845,-85.238068,35.017313
846,-85.237132,35.016768
784,-85.299422,35.051562
851,-85.231155,35.01407
852,-85.229772,35.013498
854,-85.227325,35.012418
855,-85.226148,35.011985
856,-85.22502,35.011552
857,-85.222968,35.010777
861,-85.217755,35.010633
860,-85.218598,35.010232
858,-85.222222,35.010498
859,-85.221348,35.010173
18,-85.30907,35.042347
19,-85.308387,35.040952
1557,-85.30756,35.038577
1873,-85.21505,35.011406
1848,-85.213178,35.009545
1819,-85.212319,35.006295
1357,-85.307433,35.037107
21,-85.307322,35.036378
22,-85.30826,35.03465
23,-85.30864,35.032758
1849,-85.212193,35.008492
1850,-85.21143,35.007192
24,-85.308832,35.031788
25,-85.309087,35.030815
26,-85.31066,35.027553
27,-85.311025,35.026735
28,-85.311487,35.025917
1877,-85.160408,35.036772
217,-85.250165,35.071728
1499,-85.306908,35.035965
1084,-85.305525,35.035505
867,-85.206915,35.009115
1196,-85.307322,35.043193
1195,-85.308037,35.0435
1085,-85.304047,35.034828
1194,-85.30899,35.043868
1087,-85.301457,35.033843
1088,-85.3002,35.033378
1086,-85.302712,35.03432
1092,-85.293477,35.03086
1091,-85.295098,35.031455
1090,-85.296832,35.032072
1197,-85.306765,35.042983
291,-85.246477,35.070402
290,-85.247797,35.07089
1198,-85.30597,35.042685
1089,-85.298882,35.032882
1199,-85.305143,35.042347
1201,-85.301377,35.040877
868,-85.207805,35.010295
289,-85.249115,35.071415
1200,-85.30435,35.042042
294,-85.248115,35.06721
869,-85.210873,35.013812
293,-85.247398,35.068513
360,-85.24894,35.065688
1095,-85.287422,35.028507
1094,-85.288392,35.028988
1093,-85.290155,35.029647
1202,-85.299502,35.040098
292,-85.246922,35.069305
870,-85.208617,35.015962
871,-85.207218,35.016817
873,-85.202448,35.019793
924,-85.152873,35.035072
925,-85.151952,35.036725
923,-85.154098,35.032867
872,-85.205597,35.017825
1139,-85.279427,35.025848
362,-85.250372,35.063053
363,-85.251437,35.061098
1204,-85.296195,35.038783
1203,-85.297673,35.039343
1096,-85.285323,35.027872
1097,-85.284227,35.027485
1496,-85.282828,35.027005
1099,-85.28019,35.026123
1558,-85.28197,35.02671
361,-85.249798,35.064075
1105,-85.271718,35.022992
1101,-85.277392,35.025102
368,-85.255187,35.054205
367,-85.254567,35.055337
366,-85.254043,35.056307
1104,-85.272847,35.023408
1103,-85.274245,35.02393
365,-85.253057,35.058127
364,-85.252278,35.059557
1102,-85.276343,35.024717
1100,-85.278345,35.025463
1207,-85.295368,35.034087
1206,-85.293542,35.037793
1205,-85.294797,35.038258
874,-85.19935,35.021723
1210,-85.297245,35.030387
1108,-85.271177,35.020003
1109,-85.271638,35.019328
877,-85.194327,35.024863
876,-85.19633,35.023627
370,-85.25638,35.052003
1394,-85.257142,35.050648
1107,-85.270557,35.02089
369,-85.255823,35.05304
875,-85.197602,35.022825
1397,-85.296323,35.032147
1209,-85.296815,35.031253
1047,-85.24306,35.055333
1395,-85.25773,35.04956
1106,-85.269795,35.022277
374,-85.257302,35.043695
879,-85.18924,35.027927
1211,-85.29885,35.027438
1048,-85.241518,35.055098
880,-85.187207,35.029147
1049,-85.240803,35.054375
375,-85.257778,35.042837
1111,-85.272942,35.01692
1110,-85.272273,35.01816
926,-85.158008,35.043372
1112,-85.273593,35.01599
1113,-85.274707,35.016252
1592,-85.296958,35.024163
927,-85.159312,35.043917
1114,-85.2799516666667,35.0176583333333
881,-85.185602,35.030347
1214,-85.29513,35.023405
376,-85.259463,35.039903
1396,-85.258542,35.041572
1118,-85.28278,35.012298
1216,-85.292698,35.022507
1217,-85.29192,35.022228
1218,-85.28987,35.021505
379,-85.261545,35.0362
378,-85.261085,35.037145
377,-85.261085,35.038758
1115,-85.281572,35.014508
1492,-85.240882,35.064098
1117,-85.282367,35.013033
1051,-85.241168,35.065505
381,-85.26242,35.034547
885,-85.17136,35.039283
1215,-85.293858,35.022932
1116,-85.28197,35.013765
882,-85.180323,35.033502
883,-85.178672,35.034555
884,-85.174077,35.037578
1052,-85.243267,35.067123
380,-85.26199,35.035365
888,-85.166527,35.042307
887,-85.167418,35.041747
886,-85.169627,35.040372
889,-85.165192,35.043138
891,-85.162792,35.044643
299,-85.241392,35.072432
298,-85.243282,35.070445
297,-85.243775,35.069498
1121,-85.277217,35.009127
1120,-85.281302,35.01067
928,-85.163365,35.044445
1219,-85.288455,35.021005
890,-85.164223,35.043765
1220,-85.286992,35.020503
383,-85.263342,35.032867
382,-85.26288,35.033685
1119,-85.282415,35.011095
1485,-85.157372,35.043023
1122,-85.277615,35.008098
1123,-85.278187,35.00693
1124,-85.278918,35.005833
929,-85.165272,35.043253
300,-85.2381,35.073402
1125,-85.279553,35.004705
1399,-85.282685,35.018987
1398,-85.283718,35.01938
385,-85.267665,35.029373
1127,-85.280778,35.00248
1126,-85.280222,35.0035
931,-85.168753,35.041008
930,-85.166432,35.042347
1054,-85.234588,35.069292
1221,-85.284703,35.019693
386,-85.268952,35.02987
1128,-85.281795,35.00064
1224,-85.279952,35.017953
1057,-85.228357,35.067155
1055,-85.231043,35.06822
387,-85.27051,35.030438
388,-85.272035,35.030995
389,-85.27353,35.031527
1130,-85.282733,34.998348
934,-85.178623,35.034865
933,-85.174142,35.037678
1129,-85.282462,34.999437
932,-85.171455,35.039363
390,-85.273435,35.031845
1134,-85.286357,34.991592
1498,-85.28731,34.98984
392,-85.272322,35.033912
391,-85.272925,35.033077
1132,-85.284927,34.99427
1131,-85.284275,34.995507
1058,-85.228103,35.064798
1059,-85.228453,35.062847
1060,-85.229645,35.060483
1225,-85.281063,35.015477
1133,-85.285673,34.992928
1136,-85.288438,34.986923
393,-85.2714,35.035508
1391,-85.271893,35.03467
1226,-85.283178,35.011443
1493,-85.232125,35.055948
1061,-85.231362,35.0574
1229,-85.284878,35.008242
1228,-85.284513,35.008933
1227,-85.284052,35.009792
1064,-85.234763,35.052043
1559,-85.288343,34.98783
935,-85.185395,35.030637
936,-85.187175,35.029528
1578,-85.190577,35.027395
1065,-85.235987,35.049853
1234,-85.288042,35.002248
1233,-85.287405,35.003482
1232,-85.28685,35.004863
1231,-85.286437,35.00565
1230,-85.28615,35.006612
941,-85.198078,35.022642
939,-85.194168,35.025117
1846,-85.236597,35.048669
1845,-85.23715,35.047673
946,-85.209188,35.015723
1477,-85.205803,35.017833
943,-85.202465,35.019932
1860,-85.20183,35.020348
1748,-85.287025,35.001748
1516,-85.235113,35.046868
628,-85.233635,35.046162
629,-85.231775,35.045042
627,-85.236113,35.046905
1749,-85.287612,35.000442
1750,-85.288533,35.000703
1236,-85.289695,35.00108
1237,-85.290807,35.001498
947,-85.210317,35.013257
630,-85.228595,35.043738
631,-85.2244,35.042975
948,-85.207917,35.010192
1238,-85.292095,35.000267
1240,-85.291587,34.997772
1239,-85.291825,34.998995
1241,-85.291332,34.996528
1242,-85.291077,34.995308
1243,-85.29068,34.993237
1244,-85.29033,34.991497
1246,-85.288805,34.987857
1245,-85.290043,34.990082
398,-85.270415,35.040313
397,-85.26954,35.03918
396,-85.270128,35.038008
395,-85.270525,35.037122
1247,-85.288168,34.986053
95,-85.319482,34.989068
399,-85.271797,35.040778
269,-85.273228,35.04135
270,-85.27647,35.042693
271,-85.278473,35.043417
1891,-85.317003,34.988092
1919,-85.20682,35.00837
272,-85.279648,35.043718
72,-85.315905,34.9899
1915,-85.316315,34.98916
1892,-85.31548,34.99066
632,-85.219155,35.043397
161,-85.314538,34.99054
74,-85.312997,34.989823
75,-85.311852,34.989392
1836,-85.219538,35.0378
158,-85.31004,34.98899
157,-85.309038,34.990257
1713,-85.30867,35.042
1834,-85.224739,35.043208
155,-85.305493,34.989323
671,-85.228247,35.043833
672,-85.231647,35.045128
673,-85.233332,35.046102
1710,-85.28815,34.98473
675,-85.235938,35.047017
951,-85.212082,35.008388
1701,-85.286794,34.984097
1889,-85.21286,35.00943
1844,-85.237682,35.045794
1071,-85.238068,35.043535
1072,-85.238625,35.042538
1070,-85.237815,35.044588
1853,-85.215625,35.011285
1077,-85.2419,35.03533
1707,-85.287605,34.986369
1706,-85.287109,34.98551
1073,-85.239118,35.04137
1074,-85.240055,35.039327
1076,-85.240882,35.036855
1075,-85.24012,35.038385
952,-85.21774,35.010633
1417,-85.309547,35.053433
953,-85.218995,35.010268
1143,-85.287327,34.989685
1708,-85.288448,34.987595
1257,-85.290283,34.992243
423,-85.310738,35.049397
424,-85.310675,35.048177
425,-85.310628,35.046968
1144,-85.286612,34.990385
1078,-85.24147,35.033447
1256,-85.290077,34.99137
1255,-85.289902,34.99046
1253,-85.289027,34.988488
1494,-85.241947,35.032528
1146,-85.28572,34.992633
1079,-85.242233,35.031925
1142,-85.287787,34.988827
1145,-85.286468,34.991255
1254,-85.289567,34.989347
1261,-85.291283,34.997355
957,-85.22591,35.012057
956,-85.224717,35.011592
1147,-85.285022,34.993977
955,-85.222778,35.010863
954,-85.220775,35.010113
1262,-85.291522,34.998618
1259,-85.290712,34.994425
1501,-85.284275,34.995335
1149,-85.282828,34.998025
1595,-85.309595,35.054702
1148,-85.283242,34.997235
1150,-85.282462,34.998673
1082,-85.244998,35.02683
1258,-85.290425,34.993003
1080,-85.243012,35.030485
1596,-85.305097,35.06181
959,-85.229518,35.013535
960,-85.230868,35.014107
740,-85.306765,35.062323
1152,-85.28092,35.002122
1153,-85.280285,35.003267
1151,-85.28197,35.000215
1265,-85.289853,35.000875
1264,-85.290838,35.000127
426,-85.310548,35.045475
493,-85.310532,35.044083
494,-85.310262,35.042375
1154,-85.279665,35.004403
1155,-85.279077,35.005492
1156,-85.278473,35.006605
512,-85.296577,35.064353
1751,-85.288932,35.000787
511,-85.297498,35.06388
428,-85.311725,35.036863
429,-85.312202,35.036028
1409,-85.313107,35.034392
961,-85.23206,35.014598
1406,-85.309992,35.039983
963,-85.236845,35.016788
964,-85.23845,35.017818
962,-85.233762,35.015283
1407,-85.311183,35.037877
1502,-85.277392,35.009223
1267,-85.287978,35.001892
1752,-85.287818,35.000373
516,-85.290203,35.066678
515,-85.291618,35.066182
514,-85.293192,35.065648
513,-85.295178,35.064968
1157,-85.277837,35.007753
517,-85.289408,35.068335
1268,-85.287358,35.003068
966,-85.240293,35.02019
967,-85.241327,35.021633
968,-85.242408,35.022518
969,-85.244108,35.023175
970,-85.245173,35.023632
1410,-85.314108,35.03275
430,-85.313488,35.03366
432,-85.316778,35.027743
1159,-85.283147,35.011237
431,-85.316318,35.028602
1270,-85.286213,35.005412
433,-85.317812,35.025868
1271,-85.285625,35.00658
1272,-85.285022,35.007733
1269,-85.286675,35.004358
1273,-85.284513,35.00873
1274,-85.284052,35.009637
1160,-85.282892,35.011925
1161,-85.282447,35.012743
434,-85.318305,35.02497
1275,-85.283273,35.011153
436,-85.32107,35.019897
435,-85.320435,35.021052
1163,-85.281683,35.014173
1162,-85.282017,35.013542
1164,-85.281158,35.01516
523,-85.288295,35.076672
522,-85.288168,35.075142
1424,-85.288295,35.074283
520,-85.288582,35.07296
1420,-85.288708,35.072027
519,-85.289075,35.070953
518,-85.28925,35.069372
1355,-85.323995,35.015298
1411,-85.322183,35.01789
38,-85.322597,35.017135
437,-85.321483,35.019142
1548,-85.276978,35.01688
